Symbol,Name,Keyword
CEA,China Eastern Airlines Corporation Ltd.,China Eastern Airlines 
CECE,CECO Environmental Corp.,CECO Environmental
CEE,"The Central and Eastern Europe Fund, Inc.",The Central and Eastern Europe Fund
CEFA,Global X S&P Catholic Values Developed ex-U.S. ETF,Global X S&P Catholic Values Developed ex-U.S. ETF
CEIX,CONSOL Energy Inc.,CONSOL Energy
CEL,"Cellcom Israel, Ltd.",Cellcom Israel
CELC,Celcuity Inc.,Celcuity
CELG~,Celgene Corporation,Celgene 
CELH,"Celsius Holdings, Inc.",Celsius
CELP,"Cypress Environmental Partners, L.P. ",Cypress Environmental Partners
CEM,ClearBridge MLP and Midstream Fund Inc.,ClearBridge MLP and Midstream Fund
CEMI,"Chembio Diagnostics, Inc.",Chembio Diagnostics
CEN,Center Coast Brookfield MLP & Energy Infrastructure,Center Coast Brookfield MLP & Energy Infrastructure
CENT,Central Garden & Pet Company,Central Garden & Pet
CENTA,Central Garden & Pet Company,Central Garden & Pet
CENX,Century Aluminum Company,Century Aluminum
CEO,CNOOC Limited,CNOOC
CEPU,Central Puerto S.A.,Central Puerto
CEQP,Crestwood Equity Partners LP,Crestwood Equity
CEQP-,Crestwood Equity Partners LP,Crestwood Equity
CERC,Cerecor Inc.,Cerecor
CERN,Cerner Corporation,Cerner 
CERS,Cerus Corporation,Cerus 
CETV,Central European Media Enterprises Ltd.,Central European Media Enterprises
CETX,Cemtrex Inc.,Cemtrex
CETXP,Cemtrex Inc.,Cemtrex
CETXW,Cemtrex Inc.,Cemtrex
CEVA,"CEVA, Inc.",CEVA
CEY,VictoryShares Emerging Market High Div Volatility Wtd ETF,VictoryShares Emerging Market High Div Volatility Wtd ETF
CEZ,VictoryShares Emerging Market Volatility Wtd ETF,VictoryShares Emerging Market Volatility Wtd ETF
CF,"CF Industries Holdings, Inc.",CF Industries
CFA,VictoryShares US 500 Volatility Wtd ETF,VictoryShares US 500 Volatility Wtd ETF
CFB,"CrossFirst Bankshares, Inc.",CrossFirst Bankshares
CFBI,"Community First Bancshares, Inc.",Community First Bancshares
CFBK,CF Bankshares Inc.,CF Bankshares
CFFA,CF Finance Acquisition Corp.,CF Finance Acquisition
CFFAU,CF Finance Acquisition Corp.,CF Finance Acquisition
CFFAW,CF Finance Acquisition Corp.,CF Finance Acquisition
CFFI,C&F Financial Corporation,C&F Financial 
CFFN,"Capitol Federal Financial, Inc.",Capitol Federal Financial
CFG,"Citizens Financial Group, Inc.",Citizens Financial
CFG-D,"Citizens Financial Group, Inc.",Citizens Financial
CFG-E,"Citizens Financial Group, Inc.",Citizens Financial
CFIIU,CF Finance Acquisition Corp. II,CF Finance Acquisition  II
CFMS,"ConforMIS, Inc.",ConforMIS
CFO,VictoryShares US 500 Enhanced Volatility Wtd ETF,VictoryShares US 500 Enhanced Volatility Wtd ETF
CFR,"Cullen/Frost Bankers, Inc.",Cullen/Frost Bankers
CFRX,ContraFect Corporation,ContraFect 
CFX,Colfax Corporation,Colfax 
CFXA,Colfax Corporation,Colfax 
CG,The Carlyle Group Inc.,The Carlyle
CGA,"China Green Agriculture, Inc.",China Green Agriculture
CGBD,"TCG BDC, Inc.",TCG BDC
CGC,Canopy Growth Corporation,Canopy Growth 
CGEN,Compugen Ltd.,Compugen
CGIX,"Cancer Genetics, Inc.",Cancer Genetics
CGNX,Cognex Corporation,Cognex 
CGO,Calamos Global Total Return Fund,Calamos Global Total Return Fund
CGRO,Collective Growth Corporation,Collective Growth 
CGROU,Collective Growth Corporation,Collective Growth 
CGROW,Collective Growth Corporation,Collective Growth 
CHA,China Telecom Corp Ltd,China Telecom Corp
CHCI,"Comstock Holding Companies, Inc.",Comstock Companies
CHCO,City Holding Company,City
CHCT,Community Healthcare Trust Incorporated,Community Healthcare Trust
CHD,"Church & Dwight Company, Inc.",Church & Dwight
CHDN,"Churchill Downs, Incorporated",Churchill Downs
CHE,Chemed Corp.,Chemed
CHEF,"The Chefs' Warehouse, Inc.",The Chefs' Warehouse
CHEK,Check-Cap Ltd.,Check-Cap
CHEKZ,Check-Cap Ltd.,Check-Cap
CHFS,"CHF Solutions, Inc.",CHF Solutions
CHGG,"Chegg, Inc.",Chegg
CHH,"Choice Hotels International, Inc.",Choice Hotels International
CHI,Calamos Convertible Opportunities and Income Fund,Calamos Convertible Opportunities and Income Fund
CHIC,Global X Funds Global X MSCI China Communication Services ETF,Global X Funds Global X MSCI China Communication Services ETF
CHKP,Check Point Software Technologies Ltd.,Check Point Software Technologies
CHL,China Mobile (Hong Kong) Ltd.,China Mobile (Hong Kong)
CHMA,"Chiasma, Inc.",Chiasma
CHMG,Chemung Financial Corp,Chemung Financial Corp
CHMI,Cherry Hill Mortgage Investment Corporation,Cherry Hill Mortgage Investment 
CHMI-A,Cherry Hill Mortgage Investment Corporation,Cherry Hill Mortgage Investment 
CHMI-B,Cherry Hill Mortgage Investment Corporation,Cherry Hill Mortgage Investment 
CHN,"China Fund, Inc. (The)",China Fund
CHNA,Loncar China BioPharma ETF,Loncar China BioPharma ETF
CHNG,Change Healthcare Inc.,Change Healthcare
CHNGU,Change Healthcare Inc.,Change Healthcare
CHNR,"China Natural Resources, Inc.",China Natural Resources
CHPM,CHP Merger Corp.,CHP Merger
CHPMU,CHP Merger Corp.,CHP Merger
CHPMW,CHP Merger Corp.,CHP Merger
CHRA,"Charah Solutions, Inc.",Charah Solutions
CHRS,"Coherus BioSciences, Inc.",Coherus BioSciences
CHRW,"C.H. Robinson Worldwide, Inc.",C.H. Robinson Worldwide
CHS,"Chico's FAS, Inc.",Chico's FAS
CHSCL,CHS Inc,CHS
CHSCM,CHS Inc,CHS
CHSCN,CHS Inc,CHS
CHSCO,CHS Inc,CHS
CHSCP,CHS Inc,CHS
CHT,"Chunghwa Telecom Co., Ltd.",Chunghwa Telecom
CHTR,"Charter Communications, Inc.",Charter Communications
CHU,China Unicom (Hong Kong) Ltd,China Unicom (Hong Kong)
CHUY,"Chuy's Holdings, Inc.",Chuy's
CHW,Calamos Global Dynamic Income Fund,Calamos Global Dynamic Income Fund
CHWY,"Chewy, Inc.",Chewy
CHX,ChampionX Corporation,ChampionX 
CHY,Calamos Convertible and High Income Fund,Calamos Convertible and High Income Fund
CI,Cigna Corporation,Cigna 
CIA,"Citizens, Inc.",Citizens
CIB,BanColombia S.A.,BanColombia
CIBR,First Trust NASDAQ Cybersecurity ETF,First Trust NASDAQ Cybersecurity ETF
CID,VictoryShares International High Div Volatility Wtd ETF,VictoryShares International High Div Volatility Wtd ETF
CIDM,Cinedigm Corp,Cinedigm Corp
CIEN,Ciena Corporation,Ciena 
CIF,Colonial Intermediate High Income Fund,Colonial Intermediate High Income Fund
CIG,Comp En De Mn Cemig ADS,Comp En De Mn Cemig ADS
CIG-C,Comp En De Mn Cemig ADS,Comp En De Mn Cemig ADS
CIGI,Colliers International Group Inc. ,Colliers International
CIH,China Index Holdings Limited,China Index
CII,Blackrock Capital and Income Strategies Fund Inc,Blackrock Capital and Income Strategies Fund
CIIC,CIIG Merger Corp.,CIIG Merger
CIICU,CIIG Merger Corp.,CIIG Merger
CIICW,CIIG Merger Corp.,CIIG Merger
CIL,VictoryShares International Volatility Wtd ETF,VictoryShares International Volatility Wtd ETF
CIM,Chimera Investment Corporation,Chimera Investment 
CIM-A,Chimera Investment Corporation,Chimera Investment 
CIM-B,Chimera Investment Corporation,Chimera Investment 
CIM-C,Chimera Investment Corporation,Chimera Investment 
CIM-D,Chimera Investment Corporation,Chimera Investment 
CINF,Cincinnati Financial Corporation,Cincinnati Financial 
CINR,Ciner Resources LP,Ciner Resources
CIO,"City Office REIT, Inc.",City Office REIT
CIO-A,"City Office REIT, Inc.",City Office REIT
CIR,"CIRCOR International, Inc.",CIRCOR International
CIT,CIT Group Inc (DEL),CIT
CIT-B,CIT Group Inc (DEL),CIT
CIVB,"Civista Bancshares, Inc. ",Civista Bancshares
CIZ,VictoryShares Developed Enhanced Volatility Wtd ETF,VictoryShares Developed Enhanced Volatility Wtd ETF
CIZN,Citizens Holding Company,Citizens
CJJD,"China Jo-Jo Drugstores, Inc.",China Jo-Jo Drugstores
CKH,"SEACOR Holdings, Inc.",SEACOR
CKPT,"Checkpoint Therapeutics, Inc.",Checkpoint Therapeutics
CL,Colgate-Palmolive Company,Colgate-Palmolive
CLA-U,Colonnade Acquisition Corp.,Colonnade Acquisition
CLAR,Clarus Corporation,Clarus 
CLB,Core Laboratories N.V.,Core Laboratories
CLBK,"Columbia Financial, Inc.",Columbia Financial
CLBS,"Caladrius Biosciences, Inc.",Caladrius Biosciences
CLCT,"Collectors Universe, Inc.",Collectors Universe
CLDB,Cortland Bancorp,Cortland Bancorp
CLDR,"Cloudera, Inc.",Cloudera
CLDT,Chatham Lodging Trust (REIT),Chatham Lodging Trust (REIT)
CLDX,"Celldex Therapeutics, Inc.",Celldex Therapeutics
CLEU,China Liberal Education Holdings Limited,China Liberal Education
CLF,Cleveland-Cliffs Inc.,Cleveland-Cliffs
CLFD,"Clearfield, Inc.",Clearfield
CLGN,CollPlant Biotechnologies Ltd.,CollPlant Biotechnologies
CLGX,"CoreLogic, Inc.",CoreLogic
CLH,"Clean Harbors, Inc.",Clean Harbors
CLI,Mack-Cali Realty Corporation,Mack-Cali Realty 
CLIR,ClearSign Technologies Corporation,ClearSign
CLLS,Cellectis S.A.,Cellectis
CLMT,"Calumet Specialty Products Partners, L.P.",Calumet Specialty Products Partners
CLNC,"Colony Credit Real Estate, Inc.",Colony Credit Real Estate
CLNE,Clean Energy Fuels Corp.,Clean Energy Fuels
CLNY,"Colony Capital, Inc.",Colony Capital
CLNY-G,"Colony Capital, Inc.",Colony Capital
CLNY-H,"Colony Capital, Inc.",Colony Capital
CLNY-I,"Colony Capital, Inc.",Colony Capital
CLNY-J,"Colony Capital, Inc.",Colony Capital
CLOU,Global X Cloud Computing ETF,Global X Cloud Computing ETF
CLPR,Clipper Realty Inc.,Clipper Realty
CLPS,CLPS Incorporation,CLPS
CLPT,ClearPoint Neuro Inc.,ClearPoint Neuro
CLR,"Continental Resources, Inc.",Continental Resources
CLRB,"Cellectar Biosciences, Inc.",Cellectar Biosciences
CLRBZ,"Cellectar Biosciences, Inc.",Cellectar Biosciences
CLRG,IQ Chaikin U.S. Large Cap ETF,IQ Chaikin U.S. Large Cap ETF
CLRO,"ClearOne, Inc.",ClearOne
CLS,"Celestica, Inc.",Celestica
CLSD,"Clearside Biomedical, Inc.",Clearside Biomedical
CLSK,"CleanSpark, Inc.",CleanSpark
CLSN,Celsion Corporation,Celsion 
CLUB,"Town Sports International Holdings, Inc.",Town Sports International
CLVS,"Clovis Oncology, Inc.",Clovis Oncology
CLW,Clearwater Paper Corporation,Clearwater Paper 
CLWT,Euro Tech Holdings Company Limited,Euro Tech
CLX,Clorox Company (The),Clorox
CLXT,"Calyxt, Inc.",Calyxt
CM,Canadian Imperial Bank of Commerce,Canadian Imperial Bank of Commerce
CMA,Comerica Incorporated,Comerica
CMBM,Cambium Networks Corporation,Cambium Networks 
CMC,Commercial Metals Company,Commercial Metals
CMCM,Cheetah Mobile Inc.,Cheetah Mobile
CMCO,Columbus McKinnon Corporation,Columbus McKinnon 
CMCSA,Comcast Corporation,Comcast 
CMCT,CIM Commercial Trust Corporation,CIM Commercial Trust 
CMCTP,CIM Commercial Trust Corporation,CIM Commercial Trust 
CMD,Cantel Medical Corp.,Cantel Medical
CME,CME Group Inc.,CME
CMFNL,"Investcorp Credit Management BDC, Inc.",Investcorp Credit Management BDC
CMG,"Chipotle Mexican Grill, Inc.",Chipotle Mexican Grill
CMI,Cummins Inc.,Cummins
CMLFU,"CM Life Sciences, Inc.",CM Life Sciences
CMLS,Cumulus Media Inc.,Cumulus Media
CMO,Capstead Mortgage Corporation,Capstead Mortgage 
CMO-E,Capstead Mortgage Corporation,Capstead Mortgage 
CMP,"Compass Minerals International, Inc.",Compass Minerals International
CMPI,"Checkmate Pharmaceuticals, Inc.",Checkmate Pharmaceuticals
CMPR,Cimpress PLC,Cimpress
CMRE,Costamare Inc.,Costamare
CMRE-B,Costamare Inc.,Costamare
CMRE-C,Costamare Inc.,Costamare
CMRE-D,Costamare Inc.,Costamare
CMRE-E,Costamare Inc.,Costamare
CMRX,"Chimerix, Inc.",Chimerix
CMS,CMS Energy Corporation,CMS Energy 
CMS-B,CMS Energy Corporation,CMS Energy 
CMSA,CMS Energy Corporation,CMS Energy 
CMSC,CMS Energy Corporation,CMS Energy 
CMSD,CMS Energy Corporation,CMS Energy 
CMTL,Comtech Telecommunications Corp.,Comtech Telecommunications
CMU,Colonial Municipal Income Trust,Colonial Municipal Income Trust
CNA,CNA Financial Corporation,CNA Financial 
CNBKA,"Century Bancorp, Inc.",Century Bancorp
CNC,Centene Corporation,Centene 
CNCE,"Concert Pharmaceuticals, Inc.",Concert Pharmaceuticals
CNCR,Loncar Cancer Immunotherapy ETF,Loncar Cancer Immunotherapy ETF
CNDT,Conduent Incorporated,Conduent
CNET,"ChinaNet Online Holdings, Inc.",ChinaNet Online
CNF,CNFinance Holdings Limited,CNFinance
CNFR,"Conifer Holdings, Inc.",Conifer
CNFRL,"Conifer Holdings, Inc.",Conifer
CNHI,CNH Industrial N.V.,CNH Industrial
CNI,Canadian National Railway Company,Canadian National Railway
CNK,Cinemark Holdings Inc,Cinemark
CNMD,CONMED Corporation,CONMED 
CNNB,"Cincinnati Bancorp, Inc.",Cincinnati Bancorp
CNNE,"Cannae Holdings, Inc.",Cannae
CNO,"CNO Financial Group, Inc.",CNO Financial
CNOB,"ConnectOne Bancorp, Inc.",ConnectOne Bancorp
CNP,"CenterPoint Energy, Inc.",CenterPoint Energy
CNP-B,"CenterPoint Energy, Inc.",CenterPoint Energy
CNQ,Canadian Natural Resources Limited,Canadian Natural Resources
CNR,"Cornerstone Building Brands, Inc.",Cornerstone Building Brands
CNS,Cohen & Steers Inc,Cohen & Steers
CNSL,"Consolidated Communications Holdings, Inc.",Consolidated Communications
CNSP,"CNS Pharmaceuticals, Inc.",CNS Pharmaceuticals
CNST,"Constellation Pharmaceuticals, Inc.",Constellation Pharmaceuticals
CNTG,Centogene N.V.,Centogene
CNTX,Centrexion Therapeutics Corporation,Centrexion Therapeutics 
CNTY,"Century Casinos, Inc.",Century Casinos
CNX,CNX Resources Corporation,CNX Resources 
CNXM,CNX Midstream Partners LP,CNX Midstream Partners
CNXN,"PC Connection, Inc.",PC Connection
CO,Global Cord Blood Corporation,Global Cord Blood 
COCP,"Cocrystal Pharma, Inc.",Cocrystal Pharma
CODA,"Coda Octopus Group, Inc.",Coda Octopus
CODI,Compass Diversified ,Compass Diversified
CODI-A,Compass Diversified ,Compass Diversified
CODI-B,Compass Diversified ,Compass Diversified
CODI-C,Compass Diversified ,Compass Diversified
CODX,"Co-Diagnostics, Inc.",Co-Diagnostics
COE,China Online Education Group,China Online Education
COF,Capital One Financial Corporation,Capital One Financial 
COF-F,Capital One Financial Corporation,Capital One Financial 
COF-G,Capital One Financial Corporation,Capital One Financial 
COF-H,Capital One Financial Corporation,Capital One Financial 
COF-I,Capital One Financial Corporation,Capital One Financial 
COF-J,Capital One Financial Corporation,Capital One Financial 
COFS,"ChoiceOne Financial Services, Inc.",ChoiceOne Financial Services
COG,Cabot Oil & Gas Corporation,Cabot Oil & Gas 
COHR,"Coherent, Inc.",Coherent
COHU,"Cohu, Inc.",Cohu
COKE,"Coca-Cola Consolidated, Inc.",Coca-Cola Consolidated
COLB,"Columbia Banking System, Inc.",Columbia Banking System
COLD,Americold Realty Trust,Americold Realty Trust
COLL,"Collegium Pharmaceutical, Inc.",Collegium Pharmaceutical
COLM,Columbia Sportswear Company,Columbia Sportswear
COMM,"CommScope Holding Company, Inc.",CommScope
COMT,iShares Commodities Select Strategy ETF,iShares Commodities Select Strategy ETF
CONE,CyrusOne Inc,CyrusOne
CONN,"Conn's, Inc.",Conn's
COO,"The Cooper Companies, Inc. ",The Cooper Companies
COOP,Mr. Cooper Group Inc.,Mr. Cooper
COP,ConocoPhillips,ConocoPhillips
COR,CoreSite Realty Corporation,CoreSite Realty 
CORE,"Core-Mark Holding Company, Inc.",Core-Mark
CORR,"CorEnergy Infrastructure Trust, Inc.",CorEnergy Infrastructure Trust
CORR-A,"CorEnergy Infrastructure Trust, Inc.",CorEnergy Infrastructure Trust
CORT,Corcept Therapeutics Incorporated,Corcept Therapeutics
COST,Costco Wholesale Corporation,Costco Wholesale 
COTY,Coty Inc.,Coty
COUP,Coupa Software Incorporated,Coupa Software
COWN,Cowen Inc.,Cowen
COWNL,Cowen Inc.,Cowen
COWNZ,Cowen Inc.,Cowen
CP,Canadian Pacific Railway Limited,Canadian Pacific Railway
CPA,"Copa Holdings, S.A.",Copa
CPAA,Conyers Park II Acquisition Corp.,Conyers Park II Acquisition
CPAAU,Conyers Park II Acquisition Corp.,Conyers Park II Acquisition
CPAAW,Conyers Park II Acquisition Corp.,Conyers Park II Acquisition
CPAC,Cementos Pacasmayo S.A.A.,Cementos Pacasmayo
CPAH,CounterPath Corporation,CounterPath 
CPB,Campbell Soup Company,Campbell Soup
CPE,Callon Petroleum Company,Callon Petroleum
CPF,CPB Inc.,CPB
CPG,Crescent Point Energy Corporation,Crescent Point Energy 
CPHC,Canterbury Park Holding Corporation,Canterbury Park 
CPIX,Cumberland Pharmaceuticals Inc.,Cumberland Pharmaceuticals
CPK,Chesapeake Utilities Corporation,Chesapeake Utilities 
CPLG,CorePoint Lodging Inc.,CorePoint Lodging
CPLP,Capital Product Partners L.P.,Capital Product Partners
CPRI,Capri Holdings Limited,Capri
CPRT,"Copart, Inc.",Copart
CPRX,"Catalyst Pharmaceuticals, Inc.",Catalyst Pharmaceuticals
CPS,Cooper-Standard Holdings Inc.,Cooper-Standard
CPSH,CPS Technologies Corp.,CPS Technologies
CPSI,"Computer Programs and Systems, Inc.",Computer Programs and Systems
CPSR,Capstar Special Purpose Acquisition Corp.,Capstar Special Purpose Acquisition
CPSR-U,Capstar Special Purpose Acquisition Corp.,Capstar Special Purpose Acquisition
CPSR-WS,Capstar Special Purpose Acquisition Corp.,Capstar Special Purpose Acquisition
CPSS,"Consumer Portfolio Services, Inc.",Consumer Portfolio Services
CPST,Capstone Turbine Corporation,Capstone Turbine 
CPT,Camden Property Trust,Camden Property Trust
CPTA,Capitala Finance Corp.,Capitala Finance
CPTAG,Capitala Finance Corp.,Capitala Finance
CPTAL,Capitala Finance Corp.,Capitala Finance
CPTI,"ConversionPoint Holdings, Inc.",ConversionPoint
CPZ,Calamos Long/Short Equity & Dynamic Income Trust,Calamos Long/Short Equity & Dynamic Income Trust
CR,Crane Co.,Crane
CRAI,"CRA International,Inc.",CRA International
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Corbus Pharmaceuticals
CRD-A,Crawford & Company,Crawford
CRD-B,Crawford & Company,Crawford
CRDF,"Cardiff Oncology, Inc.",Cardiff Oncology
CREE,"Cree, Inc.",Cree
CREG,China Recycling Energy Corporation,China Recycling Energy 
CRESY,Cresud S.A.C.I.F. y A.,Cresud C.I.F. y A
CREX,"Creative Realities, Inc.",Creative Realities
CREXW,"Creative Realities, Inc.",Creative Realities
CRH,CRH PLC,CRH
CRHC-U,Cohn Robbins Holdings Corp.,Cohn Robbins
CRI,"Carter's, Inc.",Carter's
CRIS,"Curis, Inc.",Curis
CRK,"Comstock Resources, Inc.",Comstock Resources
CRL,"Charles River Laboratories International, Inc.",Charles River Laboratories International
CRM,Salesforce.com Inc,Salesforce.com
CRMT,"America's Car-Mart, Inc.",America's Car-Mart
CRNC,Cerence Inc.,Cerence
CRNT,Ceragon Networks Ltd.,Ceragon Networks
CRNX,"Crinetics Pharmaceuticals, Inc.",Crinetics Pharmaceuticals
CRON,Cronos Group Inc.,Cronos
CROX,"Crocs, Inc.",Crocs
CRS,Carpenter Technology Corporation,Carpenter Technology 
CRSA,Crescent Acquisition Corp,Crescent Acquisition Corp
CRSAU,Crescent Acquisition Corp,Crescent Acquisition Corp
CRSAW,Crescent Acquisition Corp,Crescent Acquisition Corp
CRSP,CRISPR Therapeutics AG,CRISPR Therapeutics
CRT,Cross Timbers Royalty Trust,Cross Timbers Royalty Trust
CRTD,Creatd Inc.,Creatd
CRTDW,Creatd Inc.,Creatd
CRTO,Criteo S.A.,Criteo
CRTX,"Cortexyme, Inc.",Cortexyme
CRUS,"Cirrus Logic, Inc.",Cirrus Logic
CRVL,CorVel Corp.,CorVel
CRVS,"Corvus Pharmaceuticals, Inc.",Corvus Pharmaceuticals
CRWD,"CrowdStrike Holdings, Inc.",CrowdStrike
CRWS,"Crown Crafts, Inc.",Crown Crafts
CRY,"CryoLife, Inc.",CryoLife
CS,Credit Suisse Group,Credit Suisse
CSA,VictoryShares US Small Cap Volatility Wtd ETF,VictoryShares US Small Cap Volatility Wtd ETF
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,VictoryShares US Small Cap High Div Volatility Wtd ETF
CSBR,"Champions Oncology, Inc.",Champions Oncology
CSCO,"Cisco Systems, Inc.",Cisco Systems
CSF,VictoryShares US Discovery Enhanced Volatility Wtd ETF,VictoryShares US Discovery Enhanced Volatility Wtd ETF
CSGP,"CoStar Group, Inc.",CoStar
CSGS,"CSG Systems International, Inc.",CSG Systems International
CSII,"Cardiovascular Systems, Inc.",Cardiovascular Systems
CSIQ,Canadian Solar Inc.,Canadian Solar
CSL,Carlisle Companies Incorporated,Carlisle Companies
CSLT,"Castlight Health, inc.",Castlight Health
CSML,IQ Chaikin U.S. Small Cap ETF,IQ Chaikin U.S. Small Cap ETF
CSOD,"Cornerstone OnDemand, Inc.",Cornerstone OnDemand
CSPI,CSP Inc.,CSP
CSPR,Casper Sleep Inc.,Casper Sleep
CSQ,Calamos Strategic Total Return Fund,Calamos Strategic Total Return Fund
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",Chicken Soup for the Soul Entertainment
CSSEN,"Chicken Soup for the Soul Entertainment, Inc.",Chicken Soup for the Soul Entertainment
CSSEP,"Chicken Soup for the Soul Entertainment, Inc.",Chicken Soup for the Soul Entertainment
CSTE,Caesarstone Ltd.,Caesarstone
CSTL,"Castle Biosciences, Inc.",Castle Biosciences
CSTM,Constellium SE,Constellium SE
CSTR,"CapStar Financial Holdings, Inc.",CapStar Financial
CSU,Capital Senior Living Corporation,Capital Senior Living 
CSV,"Carriage Services, Inc.",Carriage Services
CSWC,Capital Southwest Corporation,Capital Southwest 
CSWCL,Capital Southwest Corporation,Capital Southwest 
CSWI,"CSW Industrials, Inc.",CSW Industrials
CSX,CSX Corporation,CSX 
CTA-A,E.I. du Pont de Nemours and Company,E.I. du Pont de Nemours and
CTA-B,E.I. du Pont de Nemours and Company,E.I. du Pont de Nemours and
CTAA,Qwest Corporation,Qwest 
CTAS,Cintas Corporation,Cintas 
CTB,Cooper Tire & Rubber Company,Cooper Tire & Rubber
CTBB,Qwest Corporation,Qwest 
CTBI,"Community Trust Bancorp, Inc.",Community Trust Bancorp
CTDD,Qwest Corporation,Qwest 
CTEST,NYSE Test One,NYSE Test One
CTEST-E,NYSE Test One,NYSE Test One
CTEST-G,NYSE Test One,NYSE Test One
CTEST-L,NYSE Test One,NYSE Test One
CTEST-O,NYSE Test One,NYSE Test One
CTEST-S,NYSE Test One,NYSE Test One
CTEST-V,NYSE Test One,NYSE Test One
CTG,"Computer Task Group, Incorporated",Computer Task
CTHR,Charles & Colvard Ltd.,Charles & Colvard
CTIB,Yunhong CTI Ltd.,Yunhong CTI
CTIC,CTI BioPharma Corp.,CTI BioPharma
CTK,CooTek (Cayman) Inc.,CooTek (Cayman)
CTL,"CenturyLink, Inc.",CenturyLink
CTLT,"Catalent, Inc.",Catalent
CTMX,"CytomX Therapeutics, Inc.",CytomX Therapeutics
CTR,ClearBridge MLP and Midstream Total Return Fund In,ClearBridge MLP and Midstream Total Return Fund In
CTRA,"Contura Energy, Inc.",Contura Energy
CTRE,"CareTrust REIT, Inc.",CareTrust REIT
CTRM,Castor Maritime Inc.,Castor Maritime
CTRN,"Citi Trends, Inc.",Citi Trends
CTS,CTS Corporation,CTS 
CTSH,Cognizant Technology Solutions Corporation,Cognizant Technology Solutions 
CTSO,Cytosorbents Corporation,Cytosorbents 
CTT,"CatchMark Timber Trust, Inc.",CatchMark Timber Trust
CTVA,"Corteva, Inc.",Corteva
CTXR,"Citius Pharmaceuticals, Inc.",Citius Pharmaceuticals
CTXRW,"Citius Pharmaceuticals, Inc.",Citius Pharmaceuticals
CTXS,"Citrix Systems, Inc.",Citrix Systems
CTY,Qwest Corporation,Qwest 
CTZ,Qwest Corporation,Qwest 
CUB,Cubic Corporation,Cubic 
CUBA,"The Herzfeld Caribbean Basin Fund, Inc.",The Herzfeld Caribbean Basin Fund
CUBB,"Customers Bancorp, Inc",Customers Bancorp
CUBE,CubeSmart,CubeSmart
CUBI,"Customers Bancorp, Inc",Customers Bancorp
CUBI-C,"Customers Bancorp, Inc",Customers Bancorp
CUBI-D,"Customers Bancorp, Inc",Customers Bancorp
CUBI-E,"Customers Bancorp, Inc",Customers Bancorp
CUBI-F,"Customers Bancorp, Inc",Customers Bancorp
CUE,"Cue Biopharma, Inc.",Cue Biopharma
CUK,Carnival Corporation,Carnival 
CULP,"Culp, Inc.",Culp
CURO,CURO Group Holdings Corp.,CURO
CUTR,"Cutera, Inc.",Cutera
CUZ,Cousins Properties Incorporated,Cousins Properties
CVA,Covanta Holding Corporation,Covanta 
CVAC,CureVac N.V.,CureVac
CVBF,CVB Financial Corporation,CVB Financial 
CVCO,"Cavco Industries, Inc.",Cavco Industries
CVCY,Central Valley Community Bancorp,Central Valley Community Bancorp
CVE,Cenovus Energy Inc,Cenovus Energy
CVEO,Civeo Corporation,Civeo 
CVET,"Covetrus, Inc.",Covetrus
CVGI,"Commercial Vehicle Group, Inc.",Commercial Vehicle
CVGW,"Calavo Growers, Inc.",Calavo Growers
CVI,CVR Energy Inc.,CVR Energy
CVLG,"Covenant Logistics Group, Inc.",Covenant Logistics
CVLT,"Commvault Systems, Inc.",Commvault Systems
CVLY,"Codorus Valley Bancorp, Inc",Codorus Valley Bancorp
CVNA,Carvana Co.,Carvana
CVS,CVS Health Corporation,CVS Health 
CVV,CVD Equipment Corporation,CVD Equipment 
CVX,Chevron Corporation,Chevron 
CW,Curtiss-Wright Corporation,Curtiss-Wright 
CWBC,Community West Bancshares,Community West Bancshares
CWBR,"CohBar, Inc.",CohBar
CWCO,Consolidated Water Co. Ltd.,Consolidated Water
CWEN,"Clearway Energy, Inc.",Clearway Energy
CWEN-A,"Clearway Energy, Inc.",Clearway Energy
CWH,"Camping World Holdings, Inc.",Camping World
CWK,Cushman & Wakefield plc,Cushman & Wakefield
CWST,"Casella Waste Systems, Inc.",Casella Waste Systems
CWT,California Water  Service Group Holding,California Water  Service
CX,Cemex S.A.B. de C.V.,Cemex
CXDC,China XD Plastics Company Limited,China XD Plastics
CXDO,"Crexendo, Inc.",Crexendo
CXE,Colonial High Income Municipal Trust,Colonial High Income Municipal Trust
CXH,Colonial Investment Grade Municipal Trust,Colonial Investment Grade Municipal Trust
CXO,Concho Resources Inc.,Concho Resources
CXP,"Columbia Property Trust, Inc.",Columbia Property Trust
CXSE,WisdomTree China ex-State-Owned Enterprises Fund,WisdomTree China ex-State-Owned Enterprises Fund
CXW,"CoreCivic, Inc.",CoreCivic
CYAD,Celyad SA,Celyad SA
CYAN,Cyanotech Corporation,Cyanotech 
CYBE,CyberOptics Corporation,CyberOptics 
CYBR,CyberArk Software Ltd.,CyberArk Software
CYCC,"Cyclacel Pharmaceuticals, Inc.",Cyclacel Pharmaceuticals
CYCCP,"Cyclacel Pharmaceuticals, Inc.",Cyclacel Pharmaceuticals
